politician,party,chamber,ticker,trade_type,trade_date,disclosure_date,amount_low,amount_high,description
Nancy Pelosi,D,House,NVDA,Buy,2024-06-24,2024-07-01,1000001,5000000,"Bought 20000 NVDA call options amid AI chip boom; widely covered as well-timed"
Nancy Pelosi,D,House,AAPL,Buy,2021-03-19,2021-04-09,500001,1000000,"Bought 100 AAPL call options ahead of strong earnings quarter"
Nancy Pelosi,D,House,GOOGL,Buy,2021-05-21,2021-06-14,250001,500000,"Bought 50 GOOGL call options; stock rose ~20% in following months"
Nancy Pelosi,D,House,MSFT,Buy,2021-03-19,2021-04-09,500001,1000000,"Bought 100 MSFT call options ahead of strong earnings"
Nancy Pelosi,D,House,RBLX,Buy,2021-03-11,2021-04-09,50001,100000,"Bought Roblox shares on IPO day amid metaverse speculation"
Nancy Pelosi,D,House,CRM,Buy,2021-01-22,2021-02-11,250001,500000,"Bought 50 Salesforce call options; stock had dipped before rebound"
Nancy Pelosi,D,House,DIS,Buy,2021-03-19,2021-04-09,500001,1000000,"Bought 100 Disney call options; Disney+ subscriber surge era"
Nancy Pelosi,D,House,TSLA,Sell,2022-03-16,2022-04-04,500001,1000000,"Sold TSLA call options; stock subsequently fell ~40% through mid-2022"
Nancy Pelosi,D,House,NVDA,Buy,2023-11-22,2023-12-14,250001,500000,"Bought NVDA call options before major AI-driven rally to ATH"
Richard Burr,R,Senate,SPY,Sell,2020-02-13,2020-03-19,50001,100000,"Sold SPY after classified COVID briefings; DOJ investigated"
Richard Burr,R,Senate,IHI,Sell,2020-02-13,2020-03-19,15001,50000,"Sold iShares medical devices ETF after COVID briefings"
Richard Burr,R,Senate,WYNN,Sell,2020-02-13,2020-03-19,15001,50000,"Sold Wynn Resorts before travel/hospitality crash"
Richard Burr,R,Senate,EWG,Sell,2020-02-13,2020-03-19,1001,15000,"Sold Germany ETF as global pandemic fears grew"
Kelly Loeffler,R,Senate,IVV,Sell,2020-01-24,2020-03-09,1250001,2500000,"Sold S&P 500 index fund after Jan 24 classified COVID briefing"
Kelly Loeffler,R,Senate,CITRIX,Buy,2020-02-14,2020-03-09,100001,250000,"Bought Citrix (remote work) after COVID briefing; stock surged"
Kelly Loeffler,R,Senate,MNST,Sell,2020-02-14,2020-03-09,50001,100000,"Sold Monster Beverage before COVID market crash"
David Perdue,R,Senate,CG,Buy,2020-01-23,2020-03-09,50001,100000,"Bought Carlyle Group; one of many trades amid COVID intel"
David Perdue,R,Senate,PLUG,Buy,2020-12-28,2021-01-20,15001,50000,"Bought Plug Power; Perdue made ~2400 trades in 6 years as senator"
David Perdue,R,Senate,BXP,Buy,2020-02-05,2020-03-09,100001,250000,"Bought Boston Properties during early COVID uncertainty period"
Tommy Tuberville,R,Senate,AAPL,Buy,2022-09-30,2023-01-09,1001,15000,"Late disclosure; Tuberville had over 130 late-reported trades"
Tommy Tuberville,R,Senate,MSFT,Sell,2022-05-12,2022-06-16,15001,50000,"Sold Microsoft during market downturn; one of many flagged trades"
Tommy Tuberville,R,Senate,CVS,Buy,2022-12-27,2023-04-06,1001,15000,"Bought CVS; disclosed ~100 days late, violating STOCK Act 45-day rule"
Tommy Tuberville,R,Senate,LLY,Buy,2023-02-17,2023-06-13,15001,50000,"Bought Eli Lilly during GLP-1 drug boom; disclosed months late"
Dan Crenshaw,R,House,MSFT,Buy,2021-08-30,2021-09-24,1001,15000,"Bought Microsoft; Crenshaw faced scrutiny for tech trades pattern"
Dan Crenshaw,R,House,RBLX,Buy,2021-11-08,2021-12-03,1001,15000,"Bought Roblox before metaverse hype; later sold at loss"
Mark Green,R,House,LMT,Buy,2022-02-22,2022-03-14,15001,50000,"Bought Lockheed Martin two days before Russia invaded Ukraine; Armed Services Committee member"
Mark Green,R,House,RTX,Buy,2022-02-22,2022-03-14,15001,50000,"Bought Raytheon two days before Ukraine invasion; defense stocks surged"
Dianne Feinstein,D,Senate,ALXN,Sell,2020-01-31,2020-03-05,500001,1000000,"Husband sold Alexion Pharma before COVID crash; Senate Intel member"
James Inhofe,R,Senate,BLKB,Sell,2020-01-27,2020-03-06,50001,100000,"Sold Blackbaud after COVID briefings; later said broker-managed"
Pat Fallon,R,House,META,Buy,2022-11-02,2022-12-02,15001,50000,"Bought Meta near its bottom; Fallon had >70 late-disclosed trades"
Pat Fallon,R,House,AMZN,Buy,2022-11-07,2022-12-02,15001,50000,"Bought Amazon near pandemic-era lows; well-timed purchase"
Josh Gottheimer,D,House,PLTR,Buy,2021-09-20,2021-10-14,1001,15000,"Bought Palantir; Gottheimer sat on committees relevant to defense tech"
